
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:        128, Nsync-hyd:        128
Sync-Point 50, TimeBin=19, Time: 0.385742, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 51, TimeBin=19, Time: 0.390625, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 52, TimeBin=19, Time: 0.395508, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 53, TimeBin=19, Time: 0.400391, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 54, TimeBin=19, Time: 0.405273, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 55, TimeBin=19, Time: 0.410156, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 56, TimeBin=19, Time: 0.415039, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 57, TimeBin=19, Time: 0.419922, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 58, TimeBin=19, Time: 0.424805, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 59, TimeBin=19, Time: 0.429688, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 60, TimeBin=19, Time: 0.43457, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 61, TimeBin=19, Time: 0.439453, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 62, TimeBin=19, Time: 0.444336, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 63, TimeBin=19, Time: 0.449219, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 64, TimeBin=19, Time: 0.454102, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 65, TimeBin=19, Time: 0.458984, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 66, TimeBin=19, Time: 0.463867, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 67, TimeBin=19, Time: 0.46875, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 68, TimeBin=19, Time: 0.473633, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 69, TimeBin=19, Time: 0.478516, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 70, TimeBin=19, Time: 0.483398, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 71, TimeBin=19, Time: 0.488281, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 72, TimeBin=19, Time: 0.493164, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 73, TimeBin=19, Time: 0.498047, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 74, TimeBin=19, Time: 0.50293, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 75, TimeBin=19, Time: 0.507812, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 76, TimeBin=19, Time: 0.512695, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 77, TimeBin=19, Time: 0.517578, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 78, TimeBin=19, Time: 0.522461, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 79, TimeBin=19, Time: 0.527344, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 80, TimeBin=19, Time: 0.532227, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 81, TimeBin=19, Time: 0.537109, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 82, TimeBin=19, Time: 0.541992, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

Sync-Point 83, TimeBin=19, Time: 0.546875, Systemstep: 0.00488281, Nsync-grv:        128, Nsync-hyd:        128

