
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:        256, Nsync-hyd:        256
Sync-Point 48, TimeBin=16, Time: 0.000732422, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 49, TimeBin=16, Time: 0.000756836, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 50, TimeBin=16, Time: 0.00078125, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 51, TimeBin=16, Time: 0.000805664, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 52, TimeBin=16, Time: 0.000830078, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 53, TimeBin=16, Time: 0.000854492, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 54, TimeBin=16, Time: 0.000878906, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 55, TimeBin=16, Time: 0.00090332, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 56, TimeBin=16, Time: 0.000927734, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 57, TimeBin=16, Time: 0.000952148, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 58, TimeBin=16, Time: 0.000976562, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 59, TimeBin=16, Time: 0.00100098, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 60, TimeBin=16, Time: 0.00102539, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 61, TimeBin=16, Time: 0.0010498, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 62, TimeBin=16, Time: 0.00107422, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 63, TimeBin=16, Time: 0.00109863, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 64, TimeBin=16, Time: 0.00112305, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 65, TimeBin=16, Time: 0.00114746, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 66, TimeBin=16, Time: 0.00117188, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 67, TimeBin=16, Time: 0.00119629, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 68, TimeBin=16, Time: 0.0012207, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 69, TimeBin=16, Time: 0.00124512, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 70, TimeBin=16, Time: 0.00126953, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 71, TimeBin=16, Time: 0.00129395, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 72, TimeBin=16, Time: 0.00131836, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 73, TimeBin=16, Time: 0.00134277, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 74, TimeBin=16, Time: 0.00136719, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 75, TimeBin=16, Time: 0.0013916, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 76, TimeBin=16, Time: 0.00141602, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 77, TimeBin=16, Time: 0.00144043, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 78, TimeBin=16, Time: 0.00146484, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 79, TimeBin=16, Time: 0.00148926, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

Sync-Point 80, TimeBin=16, Time: 0.00151367, Systemstep: 2.44141e-05, Nsync-grv:        256, Nsync-hyd:        256

