
Sync-Point 0, TimeBin=0, Time: 0, Systemstep: 0, Nsync-grv:      22500, Nsync-hyd:      22500
Sync-Point 50, TimeBin=18, Time: 0.172852, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:          5

Sync-Point 51, TimeBin=19, Time: 0.173828, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        109

Sync-Point 52, TimeBin=18, Time: 0.174805, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:          5

Sync-Point 53, TimeBin=20, Time: 0.175781, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        130

Sync-Point 54, TimeBin=18, Time: 0.176758, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         12

Sync-Point 55, TimeBin=19, Time: 0.177734, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        115

Sync-Point 56, TimeBin=18, Time: 0.178711, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         12

Sync-Point 57, TimeBin=21, Time: 0.179688, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        133

Sync-Point 58, TimeBin=18, Time: 0.180664, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         12

Sync-Point 59, TimeBin=19, Time: 0.181641, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        119

Sync-Point 60, TimeBin=18, Time: 0.182617, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         13

Sync-Point 61, TimeBin=20, Time: 0.183594, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        131

Sync-Point 62, TimeBin=18, Time: 0.18457, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 63, TimeBin=19, Time: 0.185547, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        120

Sync-Point 64, TimeBin=18, Time: 0.186523, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 65, TimeBin=24, Time: 0.1875, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        350

Sync-Point 66, TimeBin=18, Time: 0.188477, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         23

Sync-Point 67, TimeBin=19, Time: 0.189453, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        137

Sync-Point 68, TimeBin=18, Time: 0.19043, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         21

Sync-Point 69, TimeBin=20, Time: 0.191406, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        157

Sync-Point 70, TimeBin=18, Time: 0.192383, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         18

Sync-Point 71, TimeBin=19, Time: 0.193359, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        139

Sync-Point 72, TimeBin=18, Time: 0.194336, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         17

Sync-Point 73, TimeBin=21, Time: 0.195312, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        216

Sync-Point 74, TimeBin=18, Time: 0.196289, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         18

Sync-Point 75, TimeBin=19, Time: 0.197266, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        145

Sync-Point 76, TimeBin=18, Time: 0.198242, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         21

Sync-Point 77, TimeBin=20, Time: 0.199219, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        174

Sync-Point 78, TimeBin=18, Time: 0.200195, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 79, TimeBin=19, Time: 0.201172, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        148

Sync-Point 80, TimeBin=18, Time: 0.202148, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 81, TimeBin=22, Time: 0.203125, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        325

Sync-Point 82, TimeBin=18, Time: 0.204102, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         20

Sync-Point 83, TimeBin=19, Time: 0.205078, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        155

Sync-Point 84, TimeBin=18, Time: 0.206055, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         21

Sync-Point 85, TimeBin=20, Time: 0.207031, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        181

Sync-Point 86, TimeBin=18, Time: 0.208008, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         21

Sync-Point 87, TimeBin=19, Time: 0.208984, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        164

Sync-Point 88, TimeBin=18, Time: 0.209961, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         22

Sync-Point 89, TimeBin=21, Time: 0.210938, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:        254

Sync-Point 90, TimeBin=18, Time: 0.211914, Systemstep: 0.000976562, Nsync-grv:      22500, Nsync-hyd:         15

